nohup: ignoring input
Planning 18 runs across 6 combinations
[1/18] diffapply | haiku-4.5 | minimal | run 1/3 — Hidden: 4/15 (FAILURE)
[2/18] diffapply | haiku-4.5 | minimal | run 2/3 — Hidden: 4/15 (FAILURE)
[3/18] diffapply | haiku-4.5 | minimal | run 3/3 — Hidden: 7/15 (FAILURE)
[4/18] diffapply | haiku-4.5 | production | run 1/3 — Hidden: 6/15 (FAILURE)
[5/18] diffapply | haiku-4.5 | production | run 2/3 — Hidden: 4/15 (FAILURE)
[6/18] diffapply | haiku-4.5 | production | run 3/3 — Hidden: 6/15 (FAILURE)
[7/18] diffapply | sonnet-4.6 | minimal | run 1/3 — Hidden: 15/15 (SUCCESS)
[8/18] diffapply | sonnet-4.6 | minimal | run 2/3 — Hidden: 14/15 (FAILURE)
[9/18] diffapply | sonnet-4.6 | minimal | run 3/3 — Hidden: 14/15 (FAILURE)
[10/18] diffapply | sonnet-4.6 | production | run 1/3 — Hidden: 14/15 (FAILURE)
[11/18] diffapply | sonnet-4.6 | production | run 2/3 — Hidden: 12/15 (FAILURE)
[12/18] diffapply | sonnet-4.6 | production | run 3/3 — Hidden: 14/15 (FAILURE)
[13/18] diffapply | opus-4.6 | minimal | run 1/3 — Hidden: 15/15 (SUCCESS)
[14/18] diffapply | opus-4.6 | minimal | run 2/3 — Hidden: 15/15 (SUCCESS)
[15/18] diffapply | opus-4.6 | minimal | run 3/3 — Hidden: 15/15 (SUCCESS)
[16/18] diffapply | opus-4.6 | production | run 1/3 — Hidden: 15/15 (SUCCESS)
[17/18] diffapply | opus-4.6 | production | run 2/3 — Hidden: 15/15 (SUCCESS)
[18/18] diffapply | opus-4.6 | production | run 3/3 — Hidden: 15/15 (SUCCESS)

Batch complete: 7/18 succeeded, 11 errors
Errors:
  - diffapply | haiku-4.5 | minimal | rep 1: status FAILURE, hidden 4/15
  - diffapply | haiku-4.5 | minimal | rep 2: status FAILURE, hidden 4/15
  - diffapply | haiku-4.5 | minimal | rep 3: status FAILURE, hidden 7/15
  - diffapply | haiku-4.5 | production | rep 1: status FAILURE, hidden 6/15
  - diffapply | haiku-4.5 | production | rep 2: status FAILURE, hidden 4/15
  - diffapply | haiku-4.5 | production | rep 3: status FAILURE, hidden 6/15
  - diffapply | sonnet-4.6 | minimal | rep 2: status FAILURE, hidden 14/15
  - diffapply | sonnet-4.6 | minimal | rep 3: status FAILURE, hidden 14/15
  - diffapply | sonnet-4.6 | production | rep 1: status FAILURE, hidden 14/15
  - diffapply | sonnet-4.6 | production | rep 2: status FAILURE, hidden 12/15
  - diffapply | sonnet-4.6 | production | rep 3: status FAILURE, hidden 14/15

Summary written to runs/batch_26-07-01_200912.json
